"","Abs.Latitude","pval","SST","pval","Nitrate","pval","Phosphate","pval","FeT","pval","Nutricline","pval","MLD","pval","MLPAR","pval","Chl-a","pval","% Diatoms","pval","% Cocco","pval","% Chloro","pval","% Cyano","pval"
"C:P",0.231,"***",-0.106,"***",-0.192,"***",-0.29,"***",-0.026,"n.s.",0.448,"***",-0.124,"***",0.223,"***",-0.284,"***",-0.115,"***",0.009,"n.s.",-0.305,"***",0.351,"***"
"N:P",0.293,"***",-0.238,"***",-0.016,"n.s.",-0.151,"***",-0.081,"**",0.306,"***",-0.009,"n.s.",0.05,"n.s.",-0.112,"***",0.029,"n.s.",0.106,"***",-0.317,"***",0.17,"***"
"C:N",-0.043,"n.s.",0.2,"***",-0.36,"***",-0.322,"***",0.088,"**",0.373,"***",-0.234,"***",0.363,"***",-0.379,"***",-0.282,"***",-0.167,"***",-0.065,"*",0.412,"***"
