"","SST","pval","Nitrate","pval","Nutricline","pval","Nutricline x Nutlim","pval","Total","pval"
"C:P",0.042,"*",0.01,"n.s.",0.201,"***",0.139,"**",0.392,""
"N:P",0.072,"***",0.019,"**",0.1,"***",0.178,"***",0.37,""
"C:N",0.022,"*",0.014,"n.s.",0.027,"n.s.",0.073,"***",0.136,""
