"Model","df","AIC","deltaAIC","rmse","rmse_norm","Rsq_train","Rsq_test"
"modGI","18.171","-785.377","0.000","0.119","0.062","0.145","0.103"
"modI","14.592","-783.250","2.128","0.119","0.062","0.134","0.093"
"modGS","12.588","-784.391","0.987","0.119","0.062","0.133","0.100"
"modS","12.256","-783.006","2.371","0.119","0.062","0.130","0.098"
"modG","10.747","-774.744","10.633","0.120","0.063","0.107","0.088"
"modC","8.445","-772.450","12.927","0.120","0.063","0.097","0.084"
