"Model","df","AIC","deltaAIC","rmse","rmse_norm","Rsq_train","Rsq_test"
"modGI","17.432","-406.018","0.000","0.169","0.034","0.392","0.324"
"modI","19.006","-403.476","2.542","0.172","0.035","0.391","0.297"
"modS","18.866","-402.943","3.075","0.170","0.035","0.389","0.313"
"modGS","15.979","-403.878","2.140","0.169","0.034","0.387","0.324"
"modG","11.558","-398.847","7.172","0.168","0.034","0.367","0.336"
"modC","8.867","-354.626","51.392","0.174","0.036","0.308","0.282"
